text,label
Congratulations! You won a free lottery ticket,spam
"Win a brand new iPhone now, click this link",spam
URGENT! You have won $1000. Claim your prize,spam
Get free money by registering today,spam
Exclusive offer! Buy now and get 90% discount,spam
You have been selected for a cash reward,spam
Click here to claim your free vacation,spam
Free entry in our lucky draw. Reply YES,spam
"Congratulations, you are our lucky winner",spam
Earn $5000 per week from home,spam
You have won a special cash prize,spam
Claim your free gift card today,spam
Limited time offer! Get 80% discount,spam
You are selected for an exclusive reward,spam
Act now to receive your free bonus,spam
Win cash instantly by clicking this link,spam
Free shopping voucher waiting for you,spam
Congratulations! Your number won the lottery,spam
Get rich quickly with this amazing offer,spam
You have received a $500 reward,spam
Meeting is scheduled for tomorrow at 10 AM,ham
Please submit your assignment before Friday,ham
Can you send me the project report?,ham
"Lunch is ready, come to the cafeteria",ham
Your appointment is confirmed for Monday,ham
Please call me when you reach home,ham
The class will start at 9 AM tomorrow,ham
Don't forget to bring your laptop,ham
Your order has been shipped successfully,ham
Thanks for sending the documents,ham
Let's meet at the library after class,ham
Please review the attached project file,ham
Your interview is scheduled for next week,ham
Can you share today's lecture notes?,ham
The cricket match starts at 7 PM,ham
Your payment was received successfully,ham
Please attend the meeting at 3 PM,ham
Happy birthday! Have a great day,ham
Can we discuss the project tomorrow?,ham
Your exam results are now available,ham
